Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,10768.750000,10782.870117,10619.389648,10782.870117,10782.870117,18513540000
2016-08-08,10789.849609,10848.200195,10761.070313,10822.410156,10822.410156,16340620000
2016-08-15,10838.339844,10892.150391,10754.650391,10829.150391,10829.150391,16049210000
2016-08-22,10798.099609,10879.280273,10710.049805,10749.330078,10749.330078,15278970000
2016-08-29,10753.450195,10867.849609,10704.000000,10856.919922,10856.919922,15911210000
2016-09-05,10879.639648,10903.860352,10613.530273,10613.530273,10613.530273,14728870000
2016-09-12,10563.730469,10760.589844,10487.799805,10532.269531,10532.269531,20204330000
2016-09-19,10533.419922,10818.110352,10533.419922,10717.990234,10717.990234,16885840000
2016-09-26,10675.250000,10764.269531,10587.929688,10721.740234,10721.740234,18967960000
2016-10-03,10721.849609,10721.849609,10579.629883,10626.919922,10626.919922,17876430000
2016-10-10,10671.219727,10711.830078,10425.910156,10521.299805,10521.299805,16140520000
2016-10-17,10516.299805,10626.440430,10481.589844,10571.879883,10571.879883,16149080000
2016-10-24,10610.580078,10629.629883,10447.250000,10476.620117,10476.620117,19108200000
2016-10-31,10476.919922,10513.530273,10281.480469,10289.349609,10289.349609,20427740000
2016-11-07,10416.339844,10735.000000,10416.339844,10652.240234,10652.240234,25356830000
2016-11-14,10660.450195,10759.150391,10633.980469,10709.509766,10709.509766,21123210000
2016-11-21,10753.250000,10878.099609,10752.080078,10878.089844,10878.089844,12568190000
2016-11-28,10857.469727,10890.040039,10786.400391,10838.580078,10838.580078,21589430000
2016-12-05,10890.150391,11194.230469,10888.709961,11191.790039,11191.790039,20337430000
2016-12-12,11200.190430,11256.070313,11086.389648,11125.219727,11125.219727,22387610000
2016-12-19,11127.000000,11176.679688,11100.929688,11128.799805,11128.799805,14296250000
2016-12-26,11601.290039,11688.450195,11034.049805,11056.900391,11056.900391,9386710000
2017-01-02,11138.849609,11264.169922,11094.290039,11237.620117,11237.620117,14637130000
2017-01-09,11209.709961,11244.320313,11136.190430,11227.169922,11227.169922,17020210000
2017-01-16,11209.719727,11221.900391,11118.469727,11192.790039,11192.790039,13591180000
2017-01-23,11178.429688,11344.740234,11130.049805,11283.190430,11283.190430,17555940000
2017-01-30,11228.360352,11316.730469,11147.110352,11310.740234,11310.740234,19001010000
2017-02-06,11278.410156,11390.889648,11196.929688,11377.719727,11377.719727,17320440000
2017-02-13,11378.110352,11525.209961,11378.110352,11510.910156,11510.910156,17831660000
2017-02-20,11517.940430,11590.349609,11486.169922,11541.290039,11541.290039,14895280000
2017-02-27,11531.389648,11687.070313,11498.910156,11598.370117,11598.370117,19514510000
2017-03-06,11556.629883,11562.589844,11411.839844,11500.759766,11500.759766,17712480000
2017-03-13,11507.190430,11630.929688,11428.730469,11589.009766,11589.009766,18757070000
2017-03-20,11582.719727,11607.230469,11372.299805,11418.889648,11418.889648,17128980000
2017-03-27,11341.320313,11537.700195,11324.500000,11492.849609,11492.849609,16227480000
2017-04-03,11495.330078,11560.820313,11394.339844,11445.580078,11445.580078,16648230000
2017-04-10,11454.110352,11496.730469,11324.530273,11324.530273,11324.530273,12243670000
2017-04-17,11351.669922,11449.150391,11327.219727,11389.129883,11389.129883,16765230000
2017-04-24,11515.009766,11653.169922,11512.139648,11536.080078,11536.080078,19608540000
2017-05-01,11550.410156,11615.610352,11490.419922,11615.610352,11615.610352,15610350000
2017-05-08,11607.280273,11612.179688,11508.169922,11547.049805,11547.049805,17759610000
2017-05-15,11547.440430,11642.849609,11374.639648,11542.690430,11542.690430,15038970000
2017-05-22,11574.830078,11666.900391,11560.379883,11631.870117,11631.870117,16116730000
2017-05-29,11607.000000,11728.799805,11554.860352,11718.700195,11718.700195,11180950000
2017-06-05,11700.459961,11754.750000,11635.570313,11744.730469,11744.730469,17598940000
2017-06-12,11749.349609,11811.500000,11693.900391,11772.019531,11772.019531,19496610000
2017-06-19,11801.830078,11836.959961,11678.900391,11733.200195,11733.200195,19022570000
2017-06-26,11761.450195,11837.599609,11683.309570,11761.700195,11761.700195,17565550000
2017-07-03,11801.440430,11869.820313,11694.080078,11752.980469,11752.980469,11595360000
